Data;ID_Veiculo;KM Percorridos;ValorAbastecimento;ValorManutencao;CustoFixo;CustoTotal
01/2021;2025;412;915.39;401.72249999999997;2638.17;3955.2825000000003
01/2021;2035;307;40.5075;17.775;119.41499999999999;177.6975
01/2021;2045;674;916.905;365.475;2963.91;4246.29
01/2021;2055;470;209.60250000000002;90.69;710.79;1011.0825
01/2021;2065;616;1003.4250000000001;384.43500000000006;2779.8975;4167.7575
01/2021;2075;845;2103.4425;1059.6299999999999;8818.26;11981.3325
01/2021;2085;634;172.665;65.49;650.4749999999999;888.6299999999999
01/2021;2095;423;459.28499999999997;164.745;1661.8049999999998;2285.835
01/2021;2105;384;2028.0825;919.71;4976.385;7924.1775
01/2021;2115;553;199.08749999999998;89.025;629.4525;917.565
01/2021;2125;550;329.4375;167.45250000000001;1153.8975;1650.7875000000001
01/2021;2135;151;197.94;104.715;835.1324999999999;1137.7875
01/2021;2145;500;340.83;134.5275;856.1775;1331.535
01/2021;2155;929;10572.4875;4466.61;29853.72;44892.8175
01/2021;2165;456;363.46500000000003;158.7525;866.6624999999999;1388.8799999999999
01/2021;2175;505;434.87250000000006;171.645;1753.4624999999999;2359.98
01/2021;2185;647;450.52500000000003;195.8475;1200.405;1846.7775
01/2021;2195;615;398.04;180.5025;1019.6324999999999;1598.1750000000002
01/2021;2205;175;28.7175;12.899999999999999;91.3425;132.96
01/2021;2215;406;478.86;203.27249999999998;1318.26;2000.3925
01/2021;2225;605;665.595;324.8775;1738.1100000000001;2728.5825
01/2021;2235;463;274.61249999999995;112.17;1029.9975;1416.78
01/2021;2245;1079;4185.6;1978.7624999999998;12686.895;18851.2575
01/2021;2255;808;1908.3374999999999;768.1575;7657.455;10333.95
01/2021;2265;234;331.23;142.6275;1035.24;1509.0975
01/2021;2275;429;95.5725;34.11;336.81;466.4925
01/2021;2285;502;219.8775;82.98;506.92499999999995;809.7825
01/2021;2295;451;878.265;466.71;3093.8775;4438.8525
01/2021;2305;706;1066.2450000000001;435.51;3749.1375000000003;5250.8925
01/2021;2315;348;642.51;261.165;2212.455;3116.13
01/2021;2325;506;677.7375;276.8175;1639.335;2593.89
01/2021;2335;737;839.8799999999999;338.07;2168.4900000000002;3346.44
01/2021;2345;558;200.04000000000002;82.905;809.5124999999999;1092.4575
01/2021;2355;423;969.7725;501.81000000000006;3185.3175;4656.9
01/2021;2365;686;1027.8899999999999;510.87;2857.7025;4396.4625
01/2021;2375;265;260.0775;111.99;755.4075;1127.475
01/2021;2385;512;60.855000000000004;29.835;248.985;339.67499999999995
01/2021;2395;486;306.495;140.29500000000002;1278.27;1725.06
01/2021;2405;547;1504.4250000000002;795.9225;4670.3925;6970.74
01/2021;2415;680;728.1899999999999;277.59749999999997;2789.64;3795.4275
01/2021;2425;415;145.0125;56.114999999999995;578.4300000000001;779.5575000000001
01/2021;2435;377;46.417500000000004;19.515;189.63;255.5625
01/2021;2445;986;2122.7250000000004;817.3425;6453.12;9393.1875
01/2021;2455;223;215.39999999999998;90.5625;684.2175;990.1800000000001
01/2021;2465;420;146.0325;63.78;539.505;749.3175
01/2021;2475;503;449.385;167.9025;1214.4225000000001;1831.71
01/2021;2485;134;66.705;33.0;190.1325;289.8375
01/2021;2495;331;1294.1025;643.1775;4079.1225;6016.4025
01/2021;2505;409;301.26;142.425;876.795;1320.48
01/2021;2515;717;638.4675;342.27750000000003;2835.39;3816.135
01/2021;2525;248;917.8575;402.8025;2239.08;3559.74
01/2021;2535;204;149.79;77.51249999999999;646.9425;874.2450000000001
01/2021;2545;774;1242.7350000000001;601.0875000000001;3954.3525;5798.174999999999
01/2021;2555;567;382.2525;169.3425;1545.7350000000001;2097.33
01/2021;2565;692;1159.1475;437.47499999999997;3071.8725;4668.495
01/2021;2575;450;163.8975;61.86;536.925;762.6825
01/2021;2585;478;21.794999999999998;10.26;87.12;119.17500000000001
01/2021;2595;352;201.53249999999997;104.28750000000001;690.345;996.165
01/2021;2605;372;604.4475;272.835;1765.1325000000002;2642.415
01/2021;2615;479;361.78499999999997;147.7725;1068.0149999999999;1577.5724999999998
01/2021;2625;770;325.76250000000005;132.41250000000002;1132.7024999999999;1590.8775
01/2021;2635;381;156.645;82.875;429.5325;669.0525
01/2021;2645;446;2002.995;744.5999999999999;7171.522500000001;9919.1175
